date,company,region,product_category,organic_traffic,direct_traffic,referral_traffic,paid_traffic,bounce_rate,avg_session_duration,pages_per_session,conversion_rate,email_sends,email_opens,email_clicks,social_posts,social_engagement,leads_generated,qualified_leads,opportunities,closed_deals,revenue,costs,marketing_spend,customer_acquisition_cost,customer_lifetime_value,nps,customer_satisfaction,support_tickets,resolution_time,active_users,feature_adoption_rate,churn_rate,expansion_revenue,gross_margin,marketing_roi,conversion_to_paid,email_engagement_rate
2022-01-31,SaasCompany1,North,Enterprise,162835,62183,31091,46637,0.542683599069469,216.74843835227878,2.2887150389630886,0.04779135070129303,11543,2931,541,42,4028,110,61,45,6,59099.0,40391.0,10403.0,159.59804570323908,2331.1702310347378,50.10793001345159,8.573049272055592,191,13.11097662115826,1117,0.5087980731851871,0.040487292072144916,8480.912254575122,0.31655357958679503,4.680957416129963,0.05454545454545454,0.046868231828814
2022-01-31,SaasCompany1,North,SMB,130162,53651,26825,40238,0.48540202444969516,120.63294546065475,4.6184341359646055,0.044276940171277125,9195,3616,621,38,3242,138,87,25,19,125413.0,34093.0,10689.0,136.53691082202545,1059.6612364202754,32.54392656807388,9.012480553934026,82,30.192680478015046,3020,0.6130030164337725,0.03125201944285163,9342.33176340649,0.7281541785939256,10.732902984376462,0.13768115942028986,0.06753670473083197
2022-01-31,SaasCompany1,North,Startup,119058,51618,25809,38713,0.4900513637770251,190.37205531242697,4.748708479745005,0.04209557328758906,10509,5807,844,35,3473,118,103,36,23,147662.0,34674.0,29984.0,285.9047871556951,2388.4910884555457,53.854198313694354,7.992364405955147,152,34.67584440298345,1537,0.6076158805546469,0.013054575855163715,11986.49492942249,0.7651799379664369,3.9246931696905016,0.19491525423728814,0.08031211342658673
2022-01-31,SaasCompany1,South,Enterprise,171379,64307,32153,48230,0.4895714194131361,268.95785675058795,4.603943623972498,0.048637673699673374,6031,5901,1007,46,4405,231,72,42,17,83751.0,88972.0,20573.0,153.4259554586593,1950.9023707133042,76.07563047723929,8.592113140678084,65,20.174528052746997,3991,0.6284732329623399,0.0494658086594547,13743.191626568834,-0.06233955415457726,3.0709181937490886,0.0735930735930736,0.16697065163322833
2022-01-31,SaasCompany1,South,SMB,183703,71783,35891,53837,0.5087718420269518,288.9577736119269,3.6219536032378614,0.04670533909141626,7723,6556,1307,40,3405,245,119,24,19,84552.0,49400.0,15177.0,154.74603973792674,1224.0888072418425,45.54701827243946,8.312768266773553,102,37.740134057921146,4302,0.4438105308416145,0.031493237459216006,11902.72131825861,0.4157441574415744,4.571061474599723,0.07755102040816327,0.16923475333419655
2022-01-31,SaasCompany1,South,Startup,158525,63354,31677,47516,0.39713798088679264,220.3696493299334,3.6235176710436607,0.045666523645916314,10397,5879,1758,43,1113,126,149,30,12,62860.0,66173.0,26237.0,250.50943566178222,2442.775671820545,38.90186671921913,8.97871692447175,159,14.945266557911584,4329,0.7267921965547917,0.044070553798175545,11080.340845704857,-0.05270442252624881,1.395853184434196,0.09523809523809523,0.16908723670289508
2022-01-31,SaasCompany1,East,Enterprise,166645,60896,30448,45672,0.4609514776559588,156.83639226789245,3.04032881983954,0.04994365674207018,8738,7384,1998,41,2507,224,63,49,20,96467.0,86084.0,21205.0,190.28692973812048,2110.4620526595318,60.809783508398475,7.912365842725414,98,18.426543011966046,3835,0.6910710241873037,0.023873432026874475,11447.743159520673,0.10763266194657241,3.549257250648432,0.08928571428571429,0.22865644312199587
2022-01-31,SaasCompany1,East,SMB,183547,67607,33803,50705,0.5834715489875626,261.2086678229601,5.078993489671907,0.04954872202349417,5534,7531,836,45,4949,202,126,27,14,113662.0,71957.0,27611.0,277.7697453155798,2756.2175225659666,69.06696722573255,7.309845589550331,133,9.422875632061418,3861,0.46653441981382837,0.026509172452031098,12151.235233385265,0.36692122257218773,3.1165477527072545,0.06930693069306931,0.15106613661004697
2022-01-31,SaasCompany1,East,Startup,119218,51110,25555,38332,0.4151642756986782,295.67546641257115,4.012587660061108,0.04257074430236921,10543,2684,592,24,1327,171,86,23,9,132303.0,63322.0,15859.0,130.93996592537735,1296.9891952728617,47.45090725263685,7.329604236469076,50,35.2363475505131,2876,0.47947625885469214,0.04278533368509639,7085.44415921096,0.5213865142891696,7.342455388107699,0.05263157894736842,0.056151000663947646
2022-01-31,SaasCompany1,West,Enterprise,183871,69355,34677,52016,0.35650103578214165,160.527995782434,4.870635487329874,0.04838477842152858,11956,5314,765,22,3787,121,147,58,14,99553.0,43670.0,27075.0,235.08664047968202,2283.576159373398,32.62852449980062,7.739820324723552,87,44.15486078174404,1580,0.5113090129485887,0.0344903767011031,11761.567039003501,0.5613391861621447,2.6769344413665745,0.11570247933884298,0.06398461023753764
